"PhonologicalForm","WrittenForm","SynCatCode","Freq","StressPattern"
"'AbAdsAzi","آبادسازي","N1","3","WWWS"
"'AbAhak","آب‌آهك","N1","1","WWS"
"'abAhASem","اباهاشم","N3","1","WWWS"
"'abAja'far","اباجعفر","N3","1","WWWS"
"'AbAji","آباجي","N1","1","WWS"
"'AbAkA","آباكا","N1","1","WWS"
"'Abaki","آبكي","A0","10","WWS"
"'abAlfazle'abbAs","اباالفضل‌العباس","N3","9","WWWWWS"
"'Ab'ali","آبعلي","N2","15","WWS"
"'AbAlu","آب‌آلو","N1","1","WWS"
"'AbAn","آبان","N1","285","WS"
"'AbanbAr","آب‌انبار","N1","75","WWS"
"'AbAnmAh","آبان‌ماه","N1","159","WWS"
"'AbAqA","اباقا","N3","1","WWS"
"'AbAqAxAn","اباقاخان","N3","1","WWWS"
"'AbAr","آبار","N1","1","WS"
"'abar","ابر","N1","1","WS"
"'abar'angal","ابرانگل","N1","1","WWWS"
"'abardeZ","ابردژ","N1","1","WWS"
"'AbAre","آباره","N1","1","WWS"
"'abarhArd","ابرهارد","N1","2","WWS"
"'abarhaSare","ابر‌حشره","N1","1","WWWWS"
"'abarhokumat","ابرحكومت","N1","1","WWWWS"
"'abarjenAyatkAr","ابرجنايتكار","A0","15","WWWWWS"
"'abarkAmpiyoter","ابر‌كامپيوتر","N1","1","WWWWWS"
"'abarkuh","ابركوه","N2","23","WWS"
"'abarman","ابرمن","N1","1","WWS"
"'abarmard","ابرمرد","N1","5","WWS"
"'abarnajan","ابرنجن","N1","1","WWWS"
"'abarnow'axtar","ابرنواختر","N1","1","WWWWS"
"'abarqodrat","ابرقدرت","A0","7","WWWS"
"'abarqodrati","ابرقدرتي","N1","5","WWWWS"
"'abarqu","ابرقو","N2","3","WWS"
"'abarquye","ابرقويه","N2","1","WWWS"
"'abarquyineZAd","ابرقويي‌نژاد","N4","15","WWWWWS"
"'abarrAyAne","ابر‌رايانه","N1","8","WWWWS"
"'abarresAnA","ابررسانا","A0","1","WWWWS"
"'abarresAnAyi","ابر‌رسانايي","N1","2","WWWWWS"
"'abarresAne","ابررسانه","N1","1","WWWWS"
"'abarSahr","ابرشهر","N2","15","WWS"
"'abarSAre","ابرشاره","N1","1","WWWS"
"'abarSerekat","ابرشركت","N1","1","WWWWS"
"'abarsetAre","ابرستاره","N1","1","WWWWS"
"'abas","عبث","N1","20","WS"
"'Abast","آبست","N1","1","WS"
"'Abaste","آبسته","N1","1","WWS"
"'abatil","اباطيل","N1","1","WWS"
"'AbAvarde","آب‌آورده","A0","1","WWWS"
"'AbAvardegi","آب‌آوردگي","N1","1","WWWWS"
"'abaveyn","ابوين","N1","1","WWS"
"'abavi","ابوي","N1","1","WWS"
"'abAyi","عبايي","A0","11","WWS"
"'abAzar","اباذر","N3","1","WWS"
"'AbAZur","آباژور","N1","2","WWS"
"'AbAZursAzi","آباژورسازي","N1","1","WWWWS"
"'AbbahA","آب‌بها","N1","30","WWS"
"'Abband","آب‌بند","N1","6","WS"
"'Abbandi","آب‌بندي","N1","1","WWS"
"'AbbandiSode","آب‌بندي‌شده","A0","1","WWWWS"
"'AbbArike","آب‌باريكه","N1","1","WWWS"
"'abbAs","عباس","N3","1155","WS"
"'abbAsAbAd","عباس‌آباد","N2","45","WWWS"
"'abbAsAbAdi","عباس‌‌آبادي","N4","2","WWWWS"
"'abbAs'ali","عباسعلي","N3","32","WWWS"
"'abbAsdows","عباس‌دوس","N1","1","WWS"
"'abbAsi","عباسي","N4","165","WWS"
"'abbAsifar","عباسي‌فر","N4","15","WWWS"
"'abbAsiyAn","عباسيان","N4","8","WWWS"
"'abbAsmirzA","عباس‌‌ميرزا","N3","4","WWWS"
"'abbAsneZAd","عباس‌نژاد","N4","60","WWWS"
"'abbAspur","عباس‌پور","N4","15","WWS"
"'abbAsqoli","عباس‌قلي","N3","30","WWWS"
"'abbAsxAn","عباس‌‌خان","N3","4","WWS"
"'abbAsxAn","عباس‌خان","N1","1","WWS"
"'abbAszAde","عباس‌زاده","N4","15","WWWS"
"'abbAszAdegAn","عباس‌‌زادگان","N4","5","WWWWS"
"'AbbAz","آب‌باز","N1","1","WS"
"'AbbAzAn","آب‌بازان","N1","1","WWS"
"'AbbAzi","آب‌بازي","N1","2","WWS"
"'Abbor","آب‌بر","N1","1","WS"
"'Abborande","آب‌برنده","N1","1","WWWS"
"'Abbordegi","آب‌بردگي","N1","1","WWWS"
"'Abboro","آب‌برو","A0","1","WWS"
"'Abbu'i","آببوئي","N1","15","WWS"
"'AbCaku","آبچكو","A0","1","WWS"
"'AbCar","آبچر","A0","1","WS"
"'AbCarA","آبچرا","N1","1","WWS"
"'AbCekAn","آب‌چكان","N1","2","WWS"
"'AbCelik","آبچليك","N1","1","WWS"
"'AbCelikAn","آبچليكان","N1","1","WWWS"
"'AbCeSi","آبچشي","N1","1","WWS"
"'abd","عبد","N1","60","S"
"'AbdAde","آبداده","N1","1","WWS"
"'abdAl","ابدال","N1","2","WS"
"'abdAli","ابدالي","N4","15","WWS"
"'AbdAn","آبدان","N1","2","WS"
"'AbdAnak","آبدانك","N1","1","WWS"
"'abdAne","عبدانه","A0","15","WWS"
"'Abdang","آبدنگ","N1","1","WS"
"'AbdAr","آبدار","A0","30","WS"
"'AbdArak","آبدارك","N1","1","WWS"
"'AbdArCi","آبدارچي","N1","8","WWS"
"'AbdAri","آبداري","N1","1","WWS"
"'AbdarmAni","آب‌درماني","N1","3","WWWS"
"'Abdarre","آبدره","N1","1","WWS"
"'AbdArxAne","آبدارخانه","N1","30","WWWS"
"'AbdArxAnedAr","آبدارخانه‌دار","A0","1","WWWWS"
"'Abdeh","آبده","N1","60","WS"
"'Abdehi","آب‌دهي","N1","3","WWS"
"'abdemanAf","عبدمناف","N3","3","WWWS"
"'abdexodA'i","عبد‌خدائي","N4","15","WWWWS"
"'abdi","عبدي","N4","45","WS"
"'Abdide","آب‌ديده","A0","1","WWS"
"'Abdidegi","آبديدگي","N1","1","WWWS"
"'abdineZAd","عبدي‌‌نژاد","N4","3","WWWS"
"'abdipur","عبدي‌‌پور","N4","1","WWS"
"'abdo","عبدو","N3","2","WS"
"'abdo'abid","عبدوعبيد","A0","1","WWWS"
"'abdoh","عبده","N3","45","WS"
"'abdol","عبدل","N3","14","WS"
"'abdolAbAd","عبدل‌‌آباد","N2","4","WWWS"
"'abdol'ahad","عبدالاحد","N3","5","WWWS"
"'abdol'ali","عبدالعلي","N3","26","WWWS"
"'abdol'alizAde","عبدالعلي‌زاده","N4","75","WWWWWS"
"'abdol'azim","عبدالعظيم","N3","64","WWWS"
"'abdolbAqi","عبدالباقي","N3","3","WWWS"
"'abdolbAset","عبدالباسط","N3","9","WWWS"
"'abdolbaSir","عبدالبشير","N3","1","WWWS"
"'abdolfattAh","عبدالفتاح","N3","4","WWWS"
"'abdolhAdi","عبدالهادي","N3","6","WWWS"
"'abdolhakim","عبدالحكيم","N3","5","WWWS"
"'abdolhalim","عبدالحليم","N3","4","WWWS"
"'abdolhamid","عبدالحميد","N3","44","WWWS"
"'abdolhasan","عبدالحسن","N3","4","WWWS"
"'abdolhoseyn","عبدالحسين","N3","82","WWWS"
"'abdolhoseyni","عبدالحسيني","N4","5","WWWWS"
"'abdoli","عبدلي","N4","7","WWS"
"'abdoljabbAr","عبدالجبار","N3","3","WWWS"
"'abdoljalil","عبدالجليل","N3","6","WWWS"
"'abdoljavAd","عبدالجواد","N3","4","WWWS"
"'abdolkabir","عبدالكبير","N3","1","WWWS"
"'abdolkarim","عبدالكريم","N3","71","WWWS"
"'abdollAh","عبدالله","N3","1020","WWS"
"'abdollAhebne'abbAs","عبدالله‌‌بن‌‌عباس","N3","26","WWWWWWS"
"'abdollAhebne'Amer","عبدالله‌‌بن‌‌عامر","N3","2","WWWWWWS"
"'abdollAhebneja'far","عبدالله‌‌بن‌‌جعفر","N3","16","WWWWWWS"
"'abdollAhebnemas'ud","عبدالله‌‌بن‌‌مسعود","N3","1","WWWWWWS"
"'abdollAhebne'obay","عبدالله‌‌ابن‌‌ابي","N3","7","WWWWWWS"
"'abdollAhebne'omar","عبدالله‌‌بن‌‌عمر","N3","14","WWWWWWS"
"'abdollAhebnesalAm","عبدالله‌‌بن‌‌سلام","N3","3","WWWWWWS"
"'abdollAhebnetAher","عبدالله‌‌بن‌‌طاهر","N3","2","WWWWWWS"
"'abdollAhebnezobayr","عبدالله‌‌بن‌‌زبير","N3","30","WWWWWWS"
"'abdollAhi","عبداللهي","N4","15","WWWS"
"'abdollAhipur","عبداللهي‌‌پور","N4","1","WWWWS"
"'abdollAhiyAn","عبداللهيان","N4","2","WWWWS"
"'abdollAhxAn","عبدالله‌‌خان","N3","3","WWWS"
"'abdollAhzAde","عبدالله‌زاده","N4","15","WWWWS"
"'abdolma'bud","عبدالمعبود","N3","1","WWWS"
"'abdolmahmud","عبدالمحمود","N3","1","WWWS"
"'abdolmajid","عبدالمجيد","N3","59","WWWS"
"'abdolmAlek","عبدالمالك","N3","2","WWWS"
"'abdolmalek","عبدالملك","N3","12","WWWS"
"'abdolmalekebnemarvAn","عبدالملك‌‌بن‌‌مروان","N3","1","WWWWWWWS"
"'abdolmaleki","عبدالملكي","N4","2","WWWWS"
"'abdolmalekiyAn","عبدالملكيان","N4","3","WWWWWS"
"'abdolmohammad","عبدالمحمد","N3","15","WWWWS"
"'abdolmohammadi","عبدالمحمدي","N4","2","WWWWWS"
"'abdolmohammadiyAn","عبدالمحمديان","N4","1","WWWWWWS"
"'abdolmohsen","عبدالمحسن","N3","4","WWWS"
"'abdolmotalleb","عبدالمطلب","N3","27","WWWWS"
"'abdolqAder","عبدالقادر","N3","16","WWWS"
"'abdolqadir","عبدالقدير","N3","5","WWWS"
"'abdolqaffAr","عبدالغفار","N3","11","WWWS"
"'abdolqafur","عبدالغفور","N3","3","WWWS"
"'abdolqani","عبدالغني","N3","6","WWWS"
"'abdolqAsem","عبدالقاسم","N3","1","WWWS"
"'abdolra'uf","عبدالرئوف","N3","12","WWWS"
"'abdolrrahmAn","عبدالرحمان","N3","111","WWWS"
"'abdolvAhed","عبدالواحد","N3","36","WWWS"
"'abdolvahhAb","عبدالوهاب","N3","7","WWWS"
"'abdolvAres","عبدالوارث","N3","1","WWWS"
"'abdolxAleq","عبدالخالق","N3","7","WWWS"
"'abdonnabi","عبدالنبي","N3","4","WWWS"
"'abdonnaqi","عبدالنقي","N3","1","WWWS"
"'abdonnAser","عبدالناصر","N3","33","WWWS"
"'abdorrahim","عبدالرحيم","N3","25","WWWS"
"'abdorrahimi","عبدالرحيمي","N4","1","WWWWS"
"'abdorrahmAn","عبدالرحمن","N3","87","WWWS"
"'abdorrahmAnebne'abibakr","عبدالرحمن‌‌بن‌‌ابي‌‌بكر","N3","1","WWWWWWWWS"
"'abdorrahmAnebne'abubakr","عبدالرحمن‌‌بن‌‌ابوبكر","N3","2","WWWWWWWWS"
"'abdorrahmAnebne'osmAn","عبدالرحمن‌‌بن‌‌عثمان","N3","2","WWWWWWWS"
"'abdorrahmAnebnexAledebnevalid","عبدالرحمن‌‌بن‌‌خالد‌‌بن‌‌وليد","N3","2","WWWWWWWWWWWS"
"'abdorraSid","عبدالرشيد","N3","5","WWWS"
"'abdorrasul","عبدالرسول","N3","8","WWWS"
"'abdorrazzAq","عبدالرازق","N3","2","WWWS"
"'abdorrazzAq","عبدالرزاق","N3","18","WWWS"
"'abdorrezA","عبدالرضا","N3","33","WWWS"
"'abdossAdeq","عبدالصادق","N3","1","WWWS"
"'abdossamad","عبدالصمد","N3","9","WWWS"
"'abdovad","عبدود","N3","2","WWS"
"'Abdozd","آب‌دزد","N1","1","WS"
"'Abdozdak","آب‌دزدك","N1","1","WWS"
"'abdozzAher","عبدالظاهر","N3","3","WWWS"
"'Abduq","آبدوغ","N1","1","WS"
"'Abdust","آبدوست","A0","1","WS"
"'abdzAde","عبدزاده","N4","2","WWS"
"'Abe","آبه","N1","15","WS"
"'Abed","عابد","N1","15","WS"
"'Abede","عابده","A0","1","WWS"
"'Abedi","عابدي","N4","15","WWS"
"'Abedini","عابديني","N4","15","WWWS"
"'Abedinipur","عابديني‌‌پور","N4","3","WWWWS"
"'AbedinzAde","عابدين‌‌زاده","N4","1","WWWWS"
"'AbedizAde","عابدي‌‌زاده","N4","1","WWWWS"
"'Abedpur","عابدپور","N4","3","WWS"
"'AbedzAde","عابدزاده","N4","15","WWWS"
"'Abegarm","آبگرم","N1","165","WWS"
"'AbehowzkeS","آب‌حوض‌كش","N1","1","WWWS"
"'Abele'eSte'Al","قابل‌‌اشتعال","A0","2","WWWWWS"
"'abelhadid","ابي‌الحديد","N3","4","WWWS"
"'abelhasan","ابي‌الحسن","N3","3","WWWS"
"'AbemorvArid","آب‌مرواريد","N1","15","WWWWS"
"'Abeqand","آب‌قند","N1","15","WWS"
"'Aber","عابر","N1","30","WS"
"'AberbAnk","عابربانك","N1","4","WWS"
"'Aberu","آبرو","N1","90","WWS"
"'Aberubari","آبروبري","N1","1","WWWS"
"'Aberumand","آبرومند","A0","30","WWWS"
"'AberumandAne","آبرومندانه","Ad","15","WWWWWS"
"'Aberurizi","آبروريزي","N1","15","WWWWS"
"'Abesard","آبسرد","N2","3","WWS"
"'AbesiyAh","آب‌سياه","N1","15","WWWS"
"'Abeskun","آبسكون","N2","15","WWS"
"'AbestAn","آبستان","N1","1","WWS"
"'Abestan","آبستن","A0","15","WWS"
"'Abestani","آبستني","N1","15","WWWS"
"'Abestre","آبستره","A0","15","WWS"
"'AbeSxor","آبشخور","N1","12","WWS"
"'Abezard","آب‌زرد","N1","15","WWS"
"'AbfA","آبفا","A0","10","WS"
"'AbfA","آبفا","N2","15","WS"
"'AbfeSAn","آب‌فشان","N1","1","WWS"
"'AbgAh","آبگاه","N1","1","WS"
"'AbgarA","آب‌گرا","A0","1","WWS"
"'AbgardAn","آب‌گردان","N1","1","WWS"
"'AbgardeS","آب‌گردش","N1","1","WWS"
"'Abgarmkon","آب‌گرمكن","N1","18","WWS"
"'Abgaz","آبگز","A0","1","WS"
"'AbgerAyi","آب‌گرايي","N1","1","WWWS"
"'Abgereftegi","آب‌گرفتگي","N1","15","WWWWS"
"'Abgine","آبگينه","N1","15","WWS"
"'Abgir","آبگير","N1","15","WS"
"'Abgiri","آب‌گيري","N1","39","WWS"
"'Abgorizi","آب‌گريزي","N1","1","WWWS"
"'Abgozar","آب‌گذر","N1","2","WWS"
"'Abgun","آبگون","A0","1","WS"
"'Abgune","آبگونه","A0","1","WWS"
"'AbguSt","آبگوشت","N1","45","WS"
"'abhar","ابهر","N2","15","WS"
"'AbharAsi","آب‌هراسي","N1","1","WWWS"
"'abhari","ابهري","N4","5","WWS"
"'abharineZAd","ابهري‌نژاد","N4","1","WWWWS"
"'abharrud","ابهررود","N2","3","WWS"
"'Abhavij","آب‌هويج","N1","2","WWS"
"'Abhowzi","آب‌حوضي","N1","1","WWS"
"'Abi","آبي","A0","720","WS"
"'abi","ابي","N1","27","WS"
"'abi'abdellAh","ابي‌عبدالله","N3","13","WWWWS"
"'abibakr","ابي‌بكر","N3","3","WWS"
"'Abid","آبيد","V2","5000","WS"
"'abid","عبيد","N1","30","WS"
"'Abide","آبيده","A0","1","WWS"
"'abijahl","ابي‌جهل","N3","4","WWS"
"'AbipuS","آبي‌پوش","A0","10","WWS"
"'abir","عبير","N1","15","WS"
"'abirAhi","ابيراهي","N1","1","WWWS"
"'abirAmiz","عبيرآميز","A0","1","WWWS"
"'Abirang","آبي‌رنگ","A0","13","WWS"
"'abisofyAn","ابي‌سفيان","N3","5","WWWS"
"'abitAleb","ابي‌طالب","N3","73","WWWS"
"'abivaqAs","ابي‌وقاص","N3","3","WWWS"
"'abivard","ابيورد","N2","4","WWS"
"'AbixAki","آبي‌خاكي","A0","1","WWWS"
"'abizar","ابي‌ذر","N3","5","WWS"
"'abjad","ابجد","N1","3","WS"
"'abjadi","ابجدي","N4","2","WWS"
"'abjadxAn","ابجدخوان","N1","1","WWS"
"'Abji","آبجي","N1","1","WS"
"'Abjow","آبجو","N1","15","WS"
"'AbjowsAzi","آبجوسازي","N1","1","WWWS"
"'AbkAfe","آبكافه","N1","1","WWS"
"'AbkAft","آبكافت","N1","1","WS"
"'Abkak","آبكك","N1","1","WS"
"'Abkand","آبكند","N1","1","WS"
"'AbkAr","آبكار","N1","4","WS"
"'Abkardani","آب‌كردني","A0","1","WWWS"
"'AbkAri","آبكاري","N1","45","WWS"
"'AbkeS","آبكش","N1","15","WS"
"'AbkeSi","آبكشي","N1","15","WWS"
"'AbkeSide","آب‌كشيده","A0","1","WWWS"
"'AbkeSt","آبكشت","N1","1","WS"
"'Abkis","آبكيس","N1","1","WS"
"'Abkore","آبكره","N1","1","WWS"
"'Abkuhe","آبكوهه","N1","1","WWS"
"'Abkupil","آبكوپيل","N1","1","WWS"
"'ablah","ابله","A0","60","WS"
"'ablahAne","ابلهانه","Ad","1","WWWS"
"'ablahi","ابلهي","N1","1","WWS"
"'ablak","ابلك","N1","1","WS"
"'Ablambu","آب‌لمبو","A0","1","WWS"
"'Ablambu","آب‌لنبو","A0","1","WWS"
"'ablaq","ابلق","A0","6","WS"
"'Able","آبله","N1","37","WS"
"'Ablegun","آبله‌گون","A0","1","WWS"
"'Ablekubi","آبله‌كوبي","N1","1","WWWS"
"'AblemorqAn","آبله‌مرغان","N1","6","WWWS"
"'Ableru","آبله‌رو","A0","1","WWS"
"'AbliC","آبليچ","A0","1","WS"
"'Ablimu","آبليمو","N1","45","WWS"
"'Abma'dani","آب‌معدني","N1","120","WWWS"
"'AbmAli","آبمالي","N1","1","WWS"
"'Abmangol","آب‌منگل","N4","1","WWS"
"'AbmAr","آبمار","N1","1","WS"
"'Abmive","آب‌ميوه","N1","39","WWS"
"'AbmivefuruSi","آبميوه‌فروشي","N1","1","WWWWWS"
"'Abmivegir","آبميوه‌گير","N1","1","WWWS"
"'Abmivegiri","آبميوه‌گيري","N1","1","WWWWS"
"'abnA","ابناء","N1","10","WS"
"'AbnabAt","آب‌نبات","N1","30","WWS"
"'AbnabAtCubi","آب‌نبات‌چوبي","N1","1","WWWWS"
"'AbnabAti","آبنباتي","A0","1","WWWS"
"'AbnabAtkeSi","آب‌نبات‌كشي","N1","1","WWWWS"
"'AbnabAtqeyCi","آب‌نبات‌قيچي","N1","1","WWWWS"
"'AbnabAttorS","آب‌نبات‌ترش","N1","1","WWWS"
"'Abnadide","آب‌نديده","A0","2","WWWS"
"'Abnaft","آب‌نفت","N1","1","WS"
"'AbnakeSide","آب‌نكشيده","A0","1","WWWWS"
"'AbnamA","آب‌نما","N1","45","WWS"
"'AbnamA'i","آب‌نمائي","N1","15","WWWS"
"'Abnamak","آب‌نمك","N1","4","WWS"
"'AbnamAyi","آب‌نمايي","N1","15","WWWS"
"'AbnArenj","آب‌نارنج","N1","1","WWS"
"'Abnaro","آب‌نرو","A0","1","WWS"
"'AbnAy","آب‌ناي","N1","1","WS"
"'AbnegAri","آبنگاري","N1","1","WWWS"
"'AbneSin","آب‌نشين","A0","1","WWS"
"'Abney","آب‌ني","N1","1","WS"
"'abniye","ابنيه","N1","375","WWS"
"'abniye'i","ابنيه‌اي","A0","15","WWWS"
"'abniyesAzi","ابنيه‌سازي","N1","1","WWWWS"
"'Abnus","آبنوس","N1","2","WS"
"'Abnusi","آبنوسي","A0","1","WWS"
"'Abo'alaf","آب‌وعلف","N1","1","WWWS"
"'Abobarq","آب‌و‌برق","N1","1","WWS"
"'AbodAn","آب‌ودان","N1","1","WWS"
"'AbodAne","آب‌ودانه","N1","1","WWWS"
"'Abogel","آب‌وگل","N1","1","WWS"
"'AbohavA","آب‌وهوا","N1","150","WWWS"
"'AbohavA'i","آب‌وهوائي","A0","60","WWWWS"
"'AbohavASenAsi","آب‌وهواشناسي","N1","1","WWWWWWS"
"'AbohavAyi","آب‌وهوايي","A0","15","WWWWS"
"'AbojAru","آب‌وجارو","N1","1","WWWS"
"'AboksiZene","آب‌اكسيژنه","N1","1","WWWWS"
"'abol'abbAs","ابوالعباس","N3","4","WWWS"
"'abol'alA","ابوالعلا","N3","2","WWWS"
"'abolbaSar","ابوالبشر","N1","4","WWWS"
"'abolfaraj","ابوالفرج","N3","13","WWWS"
"'abolfath","ابوالفتح","N3","10","WWS"
"'abolfathi","ابوالفتحي","N4","35","WWWS"
"'abolfathxAn","ابوالفتح‌خان","N3","2","WWWS"
"'abolfazl","ابوالفضل","N3","120","WWS"
"'abolfazlel'abbAs","ابوالفضل‌العباس","N3","11","WWWWWS"
"'abolfotuh","ابوالفتوح","N3","6","WWWS"
"'abolhasan","ابوالحسن","N1","165","WWWS"
"'abolhasani","ابوالحسني","N4","15","WWWWS"
"'abolhol","ابوالهول","N3","1","WWS"
"'aboli","ابولي","N1","1","WWS"
"'aboljam'","ابوابجمع","N1","1","WWS"
"'aboljam'i","ابوابجمعي","A0","1","WWWS"
"'abolma'Ali","ابوالمعالي","N3","5","WWWWS"
"'abolqAsem","ابوالقاسم","N1","180","WWWS"
"'abolqAsemi","ابوالقاسمي","N4","10","WWWWS"
"'abolqAsempur","ابوالقاسم‌پور","N4","15","WWWWS"
"'abolvafA","ابوالوفا","N3","7","WWWS"
"'abolxeyr","ابوالخير","N3","10","WWS"
"'Abomelk","آب‌و‌ملك","N1","1","WWS"
"'AbonAn","آب‌ونان","N1","1","WWS"
"'abonit","ابونيت","N1","1","WWS"
"'Aborang","آب‌ورنگ","N1","15","WWS"
"'AbotAb","آب‌و‌تاب","N1","3","WWS"
"'abovvat","ابوت","N1","1","WWS"
"'AboxAk","آب‌و‌خاك","N1","5","WWS"
"'Abparde","آب‌پرده","N1","1","WWS"
"'AbpardedArAn","آب‌پرده‌داران","N1","1","WWWWS"
"'AbpAS","آبپاش","N1","30","WS"
"'AbpASi","آب‌پاشي","N1","6","WWS"
"'AbpaxSAn","آب‌پخشان","N1","1","WWS"
"'AbpaxSkon","آب‌پخش‌كن","N1","2","WWS"
"'Abpaz","آب‌پز","A0","15","WS"
"'AbporteqAl","آب‌پرتقال","N1","3","WWWS"
"'AbpuS","آب‌پوش","N1","1","WS"
"'AbpuSi","آب‌پوشي","N1","1","WWS"
"'Abqombol","آبقمبل","N1","1","WWS"
"'Abqure","آبغوره","N1","1","WWS"
"'abr","ابر","N1","60","S"
"'Abraftegi","آبرفتگي","N1","15","WWWS"
"'AbrAh","آبراه","N1","15","WS"
"'AbrAhAm","آبراهام","N3","4","WWS"
"'AbrAhAm","ابراهام","N3","4","WWS"
"'AbrAhe","آبراهه","N1","2","WWS"
"'abrahe","ابرهه","N3","2","WWS"
"'abrAlud","ابرآلود","A0","1","WWS"
"'abrAludegi","ابرآلودگي","N1","1","WWWWS"
"'abrandud","ابر‌اندود","A0","1","WWS"
"'Abrang","آبرنگ","N1","45","WS"
"'abrAr","ابرار","N1","30","WS"
"'abre","ابره","N1","1","WS"
"'AbresAn","آب‌رسان","A0","1","WWS"
"'AbresAni","آبرساني","N1","135","WWWS"
"'abrgerefte","ابر‌گرفته","A0","1","WWWS"
"'abri","ابري","A0","30","WS"
"'abriSam","ابريشم","N1","210","WWS"
"'abriSambAf","ابريشم‌باف","N1","1","WWWS"
"'abriSambAfi","ابريشم‌بافي","N1","1","WWWWS"
"'abriSambAft","ابريشم‌بافت","N1","1","WWWS"
"'abriSamCiyAn","ابريشم‌چيان","N4","3","WWWWS"
"'abriSamduzi","ابريشم‌دوزي","N1","1","WWWWS"
"'abriSamfuruS","ابريشم‌فروش","N1","2","WWWWS"
"'abriSami","ابريشمي","A0","90","WWWS"
"'abriSamin","ابريشمين","A0","1","WWWS"
"'abriSamkeS","ابريشم‌كش","N1","1","WWWS"
"'abriSamkeSi","ابريشم‌كشي","N1","15","WWWWS"
"'abriSamris","ابريشم‌ريس","N1","2","WWWS"
"'abriSamrisi","ابريشم‌ريسي","N1","1","WWWWS"
"'abriSamtAb","ابريشم‌تاب","N1","1","WWWS"
"'abriSamtAbi","ابريشم‌تابي","N1","15","WWWWS"
"'Abriz","آبريز","N1","30","WS"
"'Abrize","آبريزه","N1","1","WWS"
"'AbrizeS","آبريزش","N1","30","WWS"
"'AbrizgAh","آبريزگاه","N1","1","WWS"
"'Abrizi","آب‌ريزي","N1","1","WWS"
"'abrmAnand","ابرمانند","A0","1","WWS"
"'Abroft","آبرفت","N1","30","WS"
"'Abrofti","آبرفتي","A0","30","WWS"
"'abronam","ابرونم","N1","1","WWS"
"'Abrost","آب‌رست","A0","1","WS"
"'abrovAn","ابروان","N1","1","WWS"
"'Abrow","آبرو","N1","1","WS"
"'Abrowqan","آب‌روغن","N1","1","WWS"
"'abru","ابرو","N1","15","WS"
"'AbrudAr","آبرودار","A0","1","WWS"
"'AbrudAri","آبروداري","N1","1","WWWS"
"'abrugoSAde","ابروگشاده","N1","1","WWWWS"
"'abrukamAn","ابروكمان","N1","1","WWWS"
"'Abrumandi","آبرومندي","N1","1","WWWS"
"'Abrun","آبرون","N1","1","WS"
"'Abrut","آبروت","N1","1","WS"
"'Abruy","آبروي","N1","15","WS"
"'AbsAb","آبساب","N1","1","WS"
"'AbsAl","آبسال","N1","7","WS"
"'AbsAlAn","آبسالان","N1","1","WWS"
"'AbSAme","آبشامه","N1","1","WWS"
"'AbSamSir","آب‌شمشير","N2","1","WWS"
"'AbSan","آبشن","N1","1","WS"
"'Absang","آبسنگ","N1","6","WS"
"'Absanj","آبسنج","N1","1","WS"
"'AbSAr","آبشار","N1","60","WS"
